FID,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,geom,couleur
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d5f,2020-03-28T10:00:00,8,Mauvais,Air Breizh,EPCI,243500139,Rennes Métropole,0,0,0,0,0,POINT (349555.0070453745 6789093.386528317),#FF0000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d5e,2020-03-28T10:00:00,7,Médiocre,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,0,0,0,0,0,POINT (269961.1106939723 6746307.8992528645),#FFAA00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d5d,2020-03-28T10:00:00,7,Médiocre,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,0,0,0,0,0,POINT (172753.63056731108 6795400.543816281),#FFAA00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d5c,2020-03-28T10:00:00,8,Mauvais,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,0,0,0,0,0,POINT (269153.2682993477 6832824.934141148),#FF0000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d5b,2020-03-28T10:00:00,8,Mauvais,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),0,0,0,0,0,POINT (338719.75810268405 6844013.788199687),#FF0000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d5a,2020-03-28T10:00:00,7,Médiocre,Air Breizh,EPCI,200042174,CA Lorient,0,0,0,0,0,POINT (229772.04043578357 6768639.926683848),#FFAA00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d59,2020-03-28T10:00:00,8,Mauvais,Air Breizh,EPCI,242900314,Brest Métropole,0,0,0,0,0,POINT (147878.22420658765 6837175.794037035),#FF0000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d58,2020-03-27T10:00:00,7,Médiocre,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,5,7,0,POINT (172753.63056731108 6795400.543816281),#FFAA00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d57,2020-03-27T10:00:00,7,Médiocre,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,5,7,0,POINT (349555.0070453745 6789093.386528317),#FFAA00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d56,2020-03-27T10:00:00,7,Médiocre,Air Breizh,EPCI,200042174,CA Lorient,1,0,4,7,0,POINT (229772.04043578357 6768639.926683848),#FFAA00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d55,2020-03-27T10:00:00,8,Mauvais,Air Breizh,EPCI,242900314,Brest Métropole,1,0,5,8,0,POINT (147878.22420658765 6837175.794037035),#FF0000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d54,2020-03-27T10:00:00,8,Mauvais,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,2,0,4,8,0,POINT (269153.2682993477 6832824.934141148),#FF0000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d53,2020-03-27T10:00:00,8,Mauvais,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,4,8,0,POINT (338719.75810268405 6844013.788199687),#FF0000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d52,2020-03-27T10:00:00,7,Médiocre,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,5,7,0,POINT (269961.1106939723 6746307.8992528645),#FFAA00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d51,2020-03-26T10:00:00,5,Moyen,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,4,5,0,POINT (269961.1106939723 6746307.8992528645),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d50,2020-03-26T10:00:00,5,Moyen,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,4,5,0,POINT (349555.0070453745 6789093.386528317),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d4f,2020-03-26T10:00:00,5,Moyen,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,4,5,0,POINT (269153.2682993477 6832824.934141148),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d4e,2020-03-26T10:00:00,5,Moyen,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,4,5,0,POINT (172753.63056731108 6795400.543816281),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d4d,2020-03-26T10:00:00,5,Moyen,Air Breizh,EPCI,200042174,CA Lorient,1,0,4,5,0,POINT (229772.04043578357 6768639.926683848),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d4c,2020-03-26T10:00:00,5,Moyen,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,4,5,0,POINT (338719.75810268405 6844013.788199687),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d4b,2020-03-26T10:00:00,5,Moyen,Air Breizh,EPCI,242900314,Brest Métropole,1,0,4,5,0,POINT (147878.22420658765 6837175.794037035),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d4a,2020-03-25T10:00:00,4,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,2,0,4,4,0,POINT (349555.0070453745 6789093.386528317),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d49,2020-03-25T10:00:00,4,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,2,0,4,4,0,POINT (269153.2682993477 6832824.934141148),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d48,2020-03-25T10:00:00,4,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,4,4,0,POINT (229772.04043578357 6768639.926683848),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d47,2020-03-25T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,4,4,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d46,2020-03-25T10:00:00,4,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,4,4,0,POINT (338719.75810268405 6844013.788199687),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d45,2020-03-25T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,4,4,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d44,2020-03-25T10:00:00,4,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,4,4,0,POINT (269961.1106939723 6746307.8992528645),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d43,2020-03-24T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,3,3,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d42,2020-03-24T10:00:00,3,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,3,0,POINT (172753.63056731108 6795400.543816281),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d41,2020-03-24T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,4,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d40,2020-03-24T10:00:00,4,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,4,0,POINT (338719.75810268405 6844013.788199687),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d3f,2020-03-24T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,3,3,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d3e,2020-03-24T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,3,3,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d3d,2020-03-23T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,4,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d3c,2020-03-23T10:00:00,4,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,3,4,0,POINT (269961.1106939723 6746307.8992528645),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d3b,2020-03-23T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,2,0,3,3,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d3a,2020-03-23T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,3,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d39,2020-03-23T10:00:00,4,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,3,4,0,POINT (229772.04043578357 6768639.926683848),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d38,2020-03-23T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,4,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d37,2020-03-23T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,3,3,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d36,2020-03-22T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,2,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d35,2020-03-22T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,2,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d34,2020-03-22T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,3,2,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d33,2020-03-22T10:00:00,3,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,2,0,POINT (172753.63056731108 6795400.543816281),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d32,2020-03-22T10:00:00,3,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,2,0,POINT (147878.22420658765 6837175.794037035),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d31,2020-03-22T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,3,2,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d30,2020-03-22T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,3,2,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d2f,2020-03-21T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,4,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d2e,2020-03-21T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,4,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d2d,2020-03-21T10:00:00,4,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,4,0,POINT (269153.2682993477 6832824.934141148),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d2c,2020-03-21T10:00:00,5,Moyen,Air Breizh,EPCI,200042174,CA Lorient,1,0,3,5,0,POINT (229772.04043578357 6768639.926683848),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d2b,2020-03-21T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,3,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d2a,2020-03-21T10:00:00,5,Moyen,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,3,5,0,POINT (349555.0070453745 6789093.386528317),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d29,2020-03-21T10:00:00,5,Moyen,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,3,5,0,POINT (269961.1106939723 6746307.8992528645),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d28,2020-03-20T10:00:00,5,Moyen,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,5,0,POINT (338719.75810268405 6844013.788199687),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d27,2020-03-20T10:00:00,6,Médiocre,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,6,0,POINT (269153.2682993477 6832824.934141148),#FFD100
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d26,2020-03-20T10:00:00,5,Moyen,Air Breizh,EPCI,200042174,CA Lorient,1,0,4,5,0,POINT (229772.04043578357 6768639.926683848),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d25,2020-03-20T10:00:00,5,Moyen,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,3,5,0,POINT (349555.0070453745 6789093.386528317),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d24,2020-03-20T10:00:00,5,Moyen,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,4,5,0,POINT (269961.1106939723 6746307.8992528645),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d23,2020-03-20T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,3,4,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d22,2020-03-20T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,3,4,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d21,2020-03-19T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,2,0,4,4,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d20,2020-03-19T10:00:00,5,Moyen,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,4,5,0,POINT (172753.63056731108 6795400.543816281),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d1f,2020-03-19T10:00:00,5,Moyen,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,4,5,0,POINT (338719.75810268405 6844013.788199687),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d1e,2020-03-19T10:00:00,4,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,2,0,4,4,0,POINT (269153.2682993477 6832824.934141148),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d1d,2020-03-19T10:00:00,5,Moyen,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,4,5,0,POINT (269961.1106939723 6746307.8992528645),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d1c,2020-03-19T10:00:00,6,Médiocre,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,4,6,0,POINT (349555.0070453745 6789093.386528317),#FFD100
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d1b,2020-03-19T10:00:00,5,Moyen,Air Breizh,EPCI,200042174,CA Lorient,1,0,4,5,0,POINT (229772.04043578357 6768639.926683848),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d1a,2020-03-18T10:00:00,4,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,2,0,4,4,0,POINT (269153.2682993477 6832824.934141148),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d19,2020-03-18T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,4,4,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d18,2020-03-18T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,2,0,4,4,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d17,2020-03-18T10:00:00,4,Bon,Air Breizh,EPCI,200042174,CA Lorient,2,0,4,4,0,POINT (229772.04043578357 6768639.926683848),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d16,2020-03-18T10:00:00,5,Moyen,Air Breizh,EPCI,243500139,Rennes Métropole,2,0,4,5,0,POINT (349555.0070453745 6789093.386528317),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d15,2020-03-18T10:00:00,4,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,2,0,4,4,0,POINT (269961.1106939723 6746307.8992528645),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d14,2020-03-18T10:00:00,5,Moyen,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),2,0,4,5,0,POINT (338719.75810268405 6844013.788199687),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d13,2020-03-17T10:00:00,4,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,2,0,4,3,0,POINT (269961.1106939723 6746307.8992528645),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d12,2020-03-17T10:00:00,5,Moyen,Air Breizh,EPCI,243500139,Rennes Métropole,3,0,3,5,0,POINT (349555.0070453745 6789093.386528317),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d11,2020-03-17T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,3,0,4,4,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d10,2020-03-17T10:00:00,4,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,2,0,4,3,0,POINT (269153.2682993477 6832824.934141148),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d0f,2020-03-17T10:00:00,5,Moyen,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),3,0,3,5,0,POINT (338719.75810268405 6844013.788199687),#FFFF00
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d0e,2020-03-17T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,2,0,3,3,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d0d,2020-03-17T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,2,0,4,2,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d0c,2020-03-16T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,4,3,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d0b,2020-03-16T10:00:00,4,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,4,2,0,POINT (269961.1106939723 6746307.8992528645),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d0a,2020-03-16T10:00:00,4,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,4,3,0,POINT (338719.75810268405 6844013.788199687),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d09,2020-03-16T10:00:00,4,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,4,3,0,POINT (349555.0070453745 6789093.386528317),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d08,2020-03-16T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,3,0,4,3,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d07,2020-03-16T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,3,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d06,2020-03-16T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,2,0,3,2,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d05,2020-03-15T10:00:00,4,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,4,2,0,POINT (269153.2682993477 6832824.934141148),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d04,2020-03-15T10:00:00,4,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,4,2,0,POINT (269961.1106939723 6746307.8992528645),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d03,2020-03-15T10:00:00,4,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,4,2,0,POINT (338719.75810268405 6844013.788199687),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d02,2020-03-15T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,4,2,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d01,2020-03-15T10:00:00,4,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,4,2,0,POINT (229772.04043578357 6768639.926683848),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7d00,2020-03-15T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,4,2,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cff,2020-03-15T10:00:00,4,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,4,2,0,POINT (349555.0070453745 6789093.386528317),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cfe,2020-03-14T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),1,0,3,2,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cfd,2020-03-14T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,4,2,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cfc,2020-03-14T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,3,2,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cfb,2020-03-14T10:00:00,4,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,0,4,2,0,POINT (269961.1106939723 6746307.8992528645),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cfa,2020-03-14T10:00:00,4,Bon,Air Breizh,EPCI,200042174,CA Lorient,2,0,4,2,0,POINT (229772.04043578357 6768639.926683848),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cf9,2020-03-14T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,2,0,3,2,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cf8,2020-03-14T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,4,3,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cf7,2020-03-13T10:00:00,3,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,2,0,3,3,0,POINT (269153.2682993477 6832824.934141148),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cf6,2020-03-13T10:00:00,3,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,2,0,3,3,0,POINT (349555.0070453745 6789093.386528317),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cf5,2020-03-13T10:00:00,3,Bon,Air Breizh,EPCI,243500782,CA du Pays de Saint-Malo (Saint-Malo Agglomération),2,0,3,3,0,POINT (338719.75810268405 6844013.788199687),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cf4,2020-03-13T10:00:00,3,Bon,Air Breizh,EPCI,200042174,CA Lorient,2,0,3,3,0,POINT (229772.04043578357 6768639.926683848),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cf3,2020-03-13T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,3,0,4,3,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cf2,2020-03-13T10:00:00,3,Bon,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,3,0,3,3,0,POINT (269961.1106939723 6746307.8992528645),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cf1,2020-03-13T10:00:00,3,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,2,0,3,3,0,POINT (172753.63056731108 6795400.543816281),#99E600
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cf0,2020-03-12T10:00:00,4,Bon,Air Breizh,EPCI,243500139,Rennes Métropole,1,0,4,3,0,POINT (349555.0070453745 6789093.386528317),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cef,2020-03-12T10:00:00,4,Bon,Air Breizh,EPCI,200042174,CA Lorient,1,0,4,3,0,POINT (229772.04043578357 6768639.926683848),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cee,2020-03-12T10:00:00,4,Bon,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,0,4,3,0,POINT (172753.63056731108 6795400.543816281),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7ced,2020-03-12T10:00:00,4,Bon,Air Breizh,EPCI,242900314,Brest Métropole,1,0,4,4,0,POINT (147878.22420658765 6837175.794037035),#C3F000
ind_bretagne_agglo.fid-37c49e3c_171202d2594_-7cec,2020-03-12T10:00:00,4,Bon,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,0,4,3,0,POINT (269153.2682993477 6832824.934141148),#C3F000
